0,-25,2,5,-3,-18,-16,-19,-8,-19,0.5,-16,-46,-60,-54,-39,-28,-34,-23,-23,-23,-6,-8,-8,-14.5,-1,-16,-45,-61,-69,-46,-28,-21,-20,-23,-27,-10,-6,-6,-4,-1,-16,-49,-60,-61,-61,-61,-61,-61,-45,-61,-61,-61,-60,-61,-61,-45,-61,-63,-46,-24,-18,-19,-20,-24,-8,-3,-3,-1,0,-61,-53,-54
,0,-5,-6,-61,-145,4,0,-4,-30,-45.5,11,-1,12,34,37,35,19,26,8,1,-5,-7,-9,-34.5,-29,13,0,8,27,51,49,8,5,-14,-40,-16,-13,-12,-18,-28,16,0,6,7,7,7,8,8,-1,8,9,9,8,9,9,-1,10,30,48,50,29,11,-9,-33,-37,-19,-15,-21,-23,14,30,21
,,0,0,-15,-39,18,-3,0,-15,-3.5,27,-14,-36,-30,-16,-7,-10,-4,-4,-4,0,4,5,-3.5,7,28,-10,-32,-43,-25,-7,-3,-3,-6,-8,6,11,16,15,18,29,-10,-29,-30,-31,-31,-33,-32,-12,-32,-33,-32,-32,-33,-33,-14,-35,-37,-24,-3,0,-2,-5,-10,0,15,23,25,26,-37,-27,-25
,,,0,-10,-28,18,-4,0,-14,0.5,27,-22,-55,-58,-42,-31,-32,-26,-24,-24,0,4,6,-0.5,10,28,-18,-50,-71,-54,-34,-25,-24,-25,-24,5,13,18,18,23,29,-19,-47,-48,-49,-49,-51,-50,-19,-50,-51,-51,-50,-52,-52,-22,-54,-66,-54,-31,-25,-24,-26,-28,-2,19,27,30,31,-57,-54,-50
,,,,0,-2,-45,-55,-36,-39,-4.5,-43,-89,-118,-109,-82,-61,-66,-50,-42,-39,-33,-32,-33,-29.5,-14,-44,-87,-117,-131,-102,-67,-39,-35,-35,-32,-32,-27,-27,-23,-13,-43,-90,-116,-116,-117,-116,-118,-117,-87,-117,-118,-117,-116,-118,-117,-88,-119,-123,-101,-60,-42,-35,-32,-30,-20,-20,-19,-13,-12,-123,-105,-102
,,,,,0,-141,-134,-92,-81,-24.5,-152,-201,-224,-190,-143,-107,-119,-87,-75,-69,-84,-88,-95,-78.5,-59,-154,-206,-232,-233,-174,-115,-68,-61,-63,-62,-94,-91,-98,-90,-74,-155,-212,-235,-234,-233,-235,-233,-202,-231,-232,-232,-231,-229,-230,-229,-199,-231,-218,-173,-103,-72,-60,-54,-52,-58,-81,-91,-82,-80,-237,-189,-188
,,,,,,0,10,13,-11,-26.5,1,1,34,68,73,71,49,62,41,32,16,6,5,-21.5,-14,2,-2,28,59,93,93,47,44,19,-15,0,-3,-5,-8,-20,3,-3,24,25,26,26,28,28,0,28,29,29,28,30,30,2,31,63,89,97,73,52,28,-1,-14,-11,-11,-18,-20,39,65,49
,,,,,,,0,-2,-26,-39.5,20,-6,-3,16,23,24,10,18,3,-4,-3,-4,-4,-26.5,-21,23,-4,-6,6,32,36,3,0,-17,-40,-10,-6,-4,-9,-16,25,-4,-7,-7,-6,-6,-6,-6,-5,-6,-6,-6,-6,-5,-5,-6,-5,10,30,38,21,5,-13,-35,-32,-10,-3,-8,-10,-3,14,6
,,,,,,,,0,-19,-20.5,23,-20,-38,-30,-16,-10,-19,-11,-19,-22,-1,1,1,-14.5,-6,25,-18,-38,-44,-18,-5,-20,-21,-32,-46,-4,3,7,4,2,26,-20,-38,-38,-38,-38,-39,-38,-19,-39,-39,-38,-38,-38,-38,-20,-39,-39,-19,-2,-9,-18,-30,-44,-22,4,11,10,10,-40,-30,-33
,,,,,,,,,0,-25.5,-4,-51,-74,-66,-48,-37,-45,-35,-38,-40,-19,-18,-17,-14.5,-17,-4,-49,-73,-84,-56,-35,-38,-38,-46,-55,-20,-13,-10,-11,-8,-3,-52,-73,-73,-73,-73,-74,-74,-49,-73,-74,-74,-73,-74,-74,-51,-75,-77,-56,-31,-31,-36,-43,-53,-30,-10,-4,-2,-2,-77,-66,-66
